bać się ; to be afraid ; afraid.mp3 ; afraid.png
biegać ; to run ; run.mp3 ; run.png
boleć ; to hurt ; hurt.mp3 ; hurt.png
brać ; to take ; take.mp3 ; take.png
być ; to be ; to_be.mp3 ; to_be.png
całować ; to kiss ; kiss.mp3 ; kiss.png
chcieć ; to want ; want.mp3 ; want.png
chodzić ; to walk ; walk.mp3 ; walk.png
chronić ; to protect ; protect.mp3 ; protect.png
cieszyć się ; to rejoice ; rejoice.mp3 ; rejoice.png
ćwiczyć ; to exercise ; exercise.mp3 ; exercise.png
czekać ; to wait ; wait.mp3 ; wait.png
czuć ; to feel ; feel.mp3 ; feel.png
czytać ; to read ; read.mp3 ; read.png
dać ; to give ; give.mp3 ; give.png
dokonać ; to accomplish ; accomplish.mp3 ; accomplish.png
dostać ; to receive ; receive.mp3 ; receive.png
dotrzeć ; to reach ; reach.mp3 ; reach.png
dowiedzieć się ; to find out ; find_out.mp3 ; find_out.png
drażnić ; to irritate ; irritate.mp3 ; irritate.png
działać ; to act ; act.mp3 ; act.png
dziękować ; to thank ; thank.mp3 ; thank.png
dzwonić ; to call
farbować ; to dye
gotować ; to cook
grać ; to play
interesować się ; to be interested in
irytować ; to irritate
jechać ; to go (by vehicle)
jeść ; to eat
jeździć ; to ride
kierować ; to drive
kochać ; to love
kończyć ; to finish
korzystać ; to use
kosztować ; to cost
kroić ; to cut
kupić ; to buy
kupować ; to purchase
łapać ; to catch
leżeć ; to lie
liczyć ; to count
lubić ; to like
malować ; to paint
martwić się ; to worry
marzyć ; to dream
mieć ; to have
mieszkać ; to live
móc ; can
mówić ; to speak
musieć ; must
myśleć ; to think
napisać ; to write (perfective)
nauczyć ; to teach
nazywać się ; to be called
nieść ; to carry
nosić ; to wear
nudzić się ; to be bored
oddać ; to give back
oddzwonić ; to call back
odebrać ; to collect
odejść ; to leave
odnaleźć ; to find
odpoczywać ; to rest
odpowiedzieć ; to answer
okazać ; to show
opowiedzieć ; to tell
organizować ; to organize
otworzyć ; to open
ożenić się ; to get married (man)
palić ; to smoke
pamiętać ; to remember
patrzeć ; to look
pić ; to drink
pisać ; to write
płacić ; to pay
planować ; to plan
pływać ; to swim
pobrać się ; to get married (formal)
podnieść ; to lift
podobać się ; to like
podróżować ; to travel
pójść ; to go (perfective)
pokazać ; to show
polecać ; to recommend
położyć ; to lay
pomóc ; to help
pomyśleć ; to think (briefly)
poprosić ; to ask
potrzebować ; to need
powiedzieć ; to say
powstrzymać ; to hold back
powtarzać ; to repeat
powtórzyć ; to repeat (perfective)
poznać ; to learn
pozostać ; to remain
pozwolić ; to allow
pracować ; to work
proponować ; to propose
prosić ; to ask
przeczytać ; to read (perfective)
przedstawić się ; to introduce oneself
przejść ; to come
przekonać ; to convince
przepraszać ; to apologize
przyjąć ; to accept
przyjmować ; to receive
przyjść ; to arrive
przymierzyć ; to try on
przypomnieć ; to remind
pytać ; to ask
rezerwować ; to reserve
robić ; to do / to make
rozbić ; to break
rozmawiać ; to talk
rozumieć ; to understand
rzucić ; to throw
segregować ; to sort
siedzieć ; to sit
skończyć ; to finish
słuchać ; to listen
słychać ; to be heard
słyszeć ; to hear
spać ; to sleep
śpiewać ; to sing
spodziewać się ; to expect
spojrzeć ; to look
spotkać ; to meet
spotykać się ; to meet regularly
spóźnić się ; to be late
sprawdzić ; to check
spróbować ; to try
sprzątać ; to clean
sprzedawać ; to sell
stać ; to stand
stosować ; to apply
studiować ; to study
szukać ; to look for
tańczyć ; to dance
telefonować ; to call
tłumaczyć ; to translate
tyć ; to gain weight
uciekać ; to escape
uczyć się ; to learn
uczynić ; to do
uderzyć się ; to hit oneself
ukraść ; to steal
ukryć ; to hide
umawiać się ; to arrange
umrzeć ; to die
upaść ; to fall
urodzić się ; to be born
usłyszeć ; to hear (perfective)
uśmiechać się ; to smile
uwierzyć ; to believe (perfective)
używać ; to use
walczyć ; to fight
wejść ; to enter
widać ; can be seen
widzieć ; to see
wiedzieć ; to know
wierzyć ; to believe
wisieć ; to hang
woleć ; to prefer
wracać ; to return
wrócić ; to return (perfective)
wyglądać ; to look
wyjść ; to go out
wynająć ; to rent
wyobrazić ; to imagine
wysłać ; to send
wziąć ; to take
zachować ; to keep
zacząć ; to begin
zależeć ; to depend
zapomnieć ; to forget
zapraszać ; to invite
zapytać ; to ask
zarabiać ; to earn
zarejestrować ; to register
żartować ; to joke
zaspać ; to oversleep
zastanawiać się ; to wonder
zatrzymać ; to stop
zbudować ; to build
zdążyć ; to manage
zdecydować ; to decide
zdobyć ; to gain
zepsuć się ; to break down
zgubić ; to lose
złamać ; to break
zmienić ; to change
znać ; to know
znaleźć ; to find
zobaczyć ; to see
zostać ; to remain
zostawić ; to leave
zrobić ; to do
zrozumieć ; to understand
życzyć ; to wish
