jeden ; один  
dwa ; два  
trzy ; три  
cztery ; чотири  
pięć ; п’ять  
sześć ; шість  
siedem ; сім  
osiem ; вісім  
dziewięć ; дев’ять  
dziesięć ; десять  
jedenaście ; одинадцять  
dwanaście ; дванадцять  
trzynaście ; тринадцять  
czternaście ; чотирнадцять  
piętnaście ; п’ятнадцять  
szesnaście ; шістнадцять  
siedemnaście ; сімнадцять  
osiemnaście ; вісімнадцять  
dziewiętnaście ; дев’ятнадцять  
dwadzieścia ; двадцять  
trzydzieści ; тридцять  
czterdzieści ; сорок  
pięćdziesiąt ; п’ятдесят  
sześćdziesiąt ; шістдесят  
siedemdziesiąt ; сімдесят  
osiemdziesiąt ; вісімдесят  
dziewięćdziesiąt ; дев’яносто  
sto ; сто  
dwieście ; двісті  
trzysta ; триста  
czterysta ; чотириста  
pięćset ; п’ятсот  
sześćset ; шістсот  
siedemset ; сімсот  
osiemset ; вісімсот  
dziewięćset ; дев’ятсот  
oba ; обидва  
obydwa ; обидва  
dwoje ; двоє  
oboje ; обох  
troje ; троє  
czworo ; четверо  
pół ; пів  
półtora ; півтора  
kilka ; кілька  
kilkanaście ; кілька  
kilkadziesiąt ; кілька десятків  
kilkaset ; кілька сотень  
parę ; пару  
ile ; скільки  
ileż ; скільки ж  
tyle ; стільки  
wiele ; багато  
niewiele ; небагато  
